[front_panel]
mode=T2 - R2
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=1
begin=0
end=100
sound speed=2730
units=0

[ascan]
fft filter=0
fft middle=2
fft width=2
fft gate=5
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Frequency [MHz]	FFT	
2,313E+00	3,451E+00	
2,319E+00	6,933E+00	
2,325E+00	6,313E+00	
2,332E+00	2,869E+00	
2,338E+00	6,817E+00	
2,344E+00	8,651E+00	
2,350E+00	5,918E+00	
2,356E+00	3,922E+00	
2,362E+00	5,380E+00	
2,368E+00	2,812E+00	
2,374E+00	4,513E+00	
2,380E+00	1,080E+01	
2,386E+00	1,192E+01	
2,393E+00	6,853E+00	
2,399E+00	2,087E+00	
2,405E+00	7,409E+00	
2,411E+00	8,026E+00	
2,417E+00	4,089E+00	
2,423E+00	5,179E+00	
2,429E+00	6,072E+00	
2,435E+00	1,621E+00	
2,441E+00	4,936E+00	
2,448E+00	8,634E+00	
2,454E+00	7,451E+00	
2,460E+00	3,018E+00	
2,466E+00	2,026E+00	
2,472E+00	3,405E+00	
2,478E+00	3,925E+00	
2,484E+00	7,468E+00	
2,490E+00	7,908E+00	
2,496E+00	4,143E+00	
2,502E+00	2,266E+00	
2,509E+00	7,750E+00	
2,515E+00	9,455E+00	
2,521E+00	6,633E+00	
2,527E+00	2,616E+00	
2,533E+00	2,853E+00	
2,539E+00	2,325E+00	
2,545E+00	2,743E+00	
2,551E+00	5,492E+00	
2,557E+00	5,088E+00	
2,563E+00	1,900E+00	
2,570E+00	2,721E+00	
2,576E+00	4,504E+00	
2,582E+00	5,151E+00	
2,588E+00	4,951E+00	
2,594E+00	4,837E+00	
2,600E+00	3,012E+00	
2,606E+00	1,181E+00	
2,612E+00	4,866E+00	
2,618E+00	6,131E+00	
2,625E+00	4,810E+00	
2,631E+00	1,519E+00	
2,637E+00	2,238E+00	
2,643E+00	3,676E+00	
2,649E+00	3,250E+00	
2,655E+00	3,134E+00	
2,661E+00	2,983E+00	
2,667E+00	1,099E+00	
2,673E+00	1,242E+00	
2,679E+00	3,574E+00	
2,686E+00	3,525E+00	
2,692E+00	3,044E+00	
2,698E+00	1,664E+00	
2,704E+00	1,353E+00	
2,710E+00	2,081E+00	
2,716E+00	3,438E+00	
2,722E+00	4,491E+00	
2,728E+00	3,915E+00	
2,734E+00	2,240E+00	
2,740E+00	5,750E-01	
2,747E+00	2,629E+00	
2,753E+00	2,932E+00	
2,759E+00	1,939E+00	
2,765E+00	8,399E-01	
2,771E+00	3,325E-01	
2,777E+00	6,044E-01	
2,783E+00	2,172E+00	
2,789E+00	2,577E+00	
2,795E+00	1,906E+00	
2,802E+00	8,240E-01	
2,808E+00	6,511E-01	
2,814E+00	2,049E+00	
2,820E+00	2,720E+00	
2,826E+00	3,293E+00	
2,832E+00	2,668E+00	
2,838E+00	1,239E+00	
2,844E+00	4,328E-01	
2,850E+00	1,553E+00	
2,856E+00	2,696E+00	
2,863E+00	2,312E+00	
2,869E+00	1,280E+00	
2,875E+00	9,360E-02	
2,881E+00	3,648E-01	
2,887E+00	7,658E-01	
2,893E+00	4,791E-01	
2,899E+00	1,138E+00	
2,905E+00	2,309E-01	
2,911E+00	3,986E-01	
2,917E+00	1,950E+00	
2,924E+00	2,609E+00	
2,930E+00	2,304E+00	
2,936E+00	2,501E+00	
2,942E+00	2,449E+00	
2,948E+00	1,973E+00	
2,954E+00	1,753E+00	
2,960E+00	1,741E+00	
2,966E+00	2,189E+00	
2,972E+00	2,183E+00	
2,979E+00	1,377E+00	
2,985E+00	6,283E-01	
2,991E+00	4,576E-01	
2,997E+00	3,494E-01	
3,003E+00	4,910E-01	
3,009E+00	8,773E-01	
3,015E+00	8,440E-01	
3,021E+00	9,453E-01	
3,027E+00	1,134E+00	
3,033E+00	1,920E+00	
3,040E+00	1,953E+00	
3,046E+00	9,980E-01	
3,052E+00	9,889E-01	
3,058E+00	1,065E+00	
3,064E+00	1,259E+00	
3,070E+00	1,043E+00	
3,076E+00	1,767E+00	
3,082E+00	1,024E+00	
3,088E+00	5,162E-01	
3,094E+00	1,943E+00	
3,101E+00	1,518E+00	
3,107E+00	1,343E+00	
3,113E+00	9,131E-01	
3,119E+00	1,116E+00	
3,125E+00	6,680E-01	
3,131E+00	5,611E-01	
3,137E+00	1,367E+00	
3,143E+00	1,265E+00	
3,149E+00	8,656E-01	
3,156E+00	6,141E-01	
3,162E+00	1,643E+00	
3,168E+00	1,938E+00	
3,174E+00	1,382E+00	
3,180E+00	1,239E+00	
3,186E+00	9,438E-01	
3,192E+00	2,780E-01	
3,198E+00	1,618E+00	
3,204E+00	1,700E+00	
3,210E+00	1,551E+00	
3,217E+00	9,554E-01	
3,223E+00	9,393E-01	
3,229E+00	1,713E+00	
3,235E+00	8,166E-01	
3,241E+00	1,010E+00	
3,247E+00	1,273E+00	
3,253E+00	1,112E+00	
3,259E+00	1,064E+00	
3,265E+00	9,586E-01	
3,271E+00	1,748E+00	
3,278E+00	1,277E+00	
3,284E+00	1,030E+00	
3,290E+00	1,351E+00	
3,296E+00	9,881E-01	
3,302E+00	1,036E+00	
3,308E+00	1,907E+00	
3,314E+00	1,597E+00	
3,320E+00	8,821E-01	
3,326E+00	3,750E-01	
3,333E+00	1,535E+00	
3,339E+00	1,103E+00	
3,345E+00	1,540E+00	
3,351E+00	1,175E+00	
3,357E+00	1,585E+00	
3,363E+00	7,918E-01	
3,369E+00	1,234E+00	
3,375E+00	1,638E+00	
3,381E+00	1,204E+00	
3,387E+00	7,473E-01	
3,394E+00	1,026E+00	
