Profile 1
x       y
[m]     [m]
1.5333076e-08  -5.8330697e-08
1.5476375e-08  -5.8334049e-08
1.5619675e-08  -5.8350331e-08
1.5762975e-08  -5.8377915e-08
1.5906275e-08  -5.8405566e-08
1.6049574e-08  -5.8433286e-08
1.6192874e-08  -5.8458789e-08
1.6336174e-08  -5.8473416e-08
1.6479474e-08  -5.8488082e-08
1.6622774e-08  -5.8502788e-08
1.6766073e-08  -5.8517534e-08
1.6909373e-08  -5.8527224e-08
1.7052673e-08  -5.8535681e-08
1.7195973e-08  -5.8543892e-08
1.7339272e-08  -5.8552068e-08
1.7482572e-08  -5.8560259e-08
1.7625872e-08  -5.8568529e-08
1.7769172e-08  -5.8576836e-08
1.7912472e-08  -5.8585178e-08
1.8055771e-08  -5.8592732e-08
1.8199071e-08  -5.8591671e-08
1.8342371e-08  -5.8590553e-08
1.8485671e-08  -5.858938e-08
1.862897e-08  -5.8588151e-08
1.877227e-08  -5.8596741e-08
1.891557e-08  -5.8609054e-08
1.905887e-08  -5.8621364e-08
1.9202169e-08  -5.8633669e-08
1.9345469e-08  -5.8642674e-08
1.9488769e-08  -5.8645912e-08
1.9632069e-08  -5.8649149e-08
1.9775369e-08  -5.8652386e-08
1.9918668e-08  -5.8655603e-08
2.0061968e-08  -5.8648195e-08
2.0205268e-08  -5.864084e-08
2.0348568e-08  -5.8633536e-08
2.0491867e-08  -5.8626284e-08
2.0635167e-08  -5.8628612e-08
2.0778467e-08  -5.8636271e-08
2.0921767e-08  -5.8643886e-08
2.1065067e-08  -5.8651457e-08
2.1208366e-08  -5.8652235e-08
2.1351666e-08  -5.8635533e-08
2.1494966e-08  -5.86189e-08
2.1638266e-08  -5.8602334e-08
2.1781565e-08  -5.8585836e-08
2.1924865e-08  -5.8579321e-08
2.2068165e-08  -5.8573834e-08
2.2211465e-08  -5.8568476e-08
2.2354764e-08  -5.8563244e-08
2.2498064e-08  -5.8573463e-08
2.2641364e-08  -5.8595899e-08
2.2784664e-08  -5.8618187e-08
2.2927964e-08  -5.8640328e-08
2.3071263e-08  -5.8657732e-08
2.3214563e-08  -5.8655912e-08
2.3357863e-08  -5.8654176e-08
2.3501163e-08  -5.8652524e-08
2.3644462e-08  -5.8650956e-08
2.3787762e-08  -5.8661827e-08
2.3931062e-08  -5.8675059e-08
2.4074362e-08  -5.8688114e-08
2.4217661e-08  -5.8700994e-08
2.4360961e-08  -5.870341e-08
2.4504261e-08  -5.8694224e-08
2.4647561e-08  -5.8685153e-08
2.4790861e-08  -5.8676198e-08
2.493416e-08  -5.8668494e-08
2.507746e-08  -5.8670281e-08
2.522076e-08  -5.8672061e-08
2.536406e-08  -5.8673832e-08
2.5507359e-08  -5.8675595e-08
2.5650659e-08  -5.8677724e-08
2.5793959e-08  -5.8680008e-08
2.5937259e-08  -5.8682323e-08
2.6080559e-08  -5.8684671e-08
2.6223858e-08  -5.8693675e-08
2.6367158e-08  -5.8713241e-08
2.6510458e-08  -5.873268e-08
2.6653758e-08  -5.8751992e-08
2.6797057e-08  -5.8770634e-08
2.6940357e-08  -5.8765e-08
2.7083657e-08  -5.8759373e-08
2.7226957e-08  -5.8753755e-08
2.7370256e-08  -5.8748144e-08
2.7513556e-08  -5.874414e-08
2.7656856e-08  -5.8740991e-08
2.7800156e-08  -5.8737877e-08
2.7943456e-08  -5.8734799e-08
2.8086755e-08  -5.8731485e-08
2.8230055e-08  -5.872753e-08
2.8373355e-08  -5.872355e-08
2.8516655e-08  -5.8719546e-08
2.8659954e-08  -5.8715519e-08
2.8803254e-08  -5.8705755e-08
2.8946554e-08  -5.8695634e-08
2.9089854e-08  -5.8685544e-08
2.9233154e-08  -5.8675487e-08
2.9376453e-08  -5.8667774e-08
2.9519753e-08  -5.8661803e-08
2.9663053e-08  -5.865586e-08
2.9806353e-08  -5.8649945e-08
2.9949652e-08  -5.8643386e-08
3.0092952e-08  -5.8634364e-08
3.0236252e-08  -5.8625361e-08
3.0379552e-08  -5.8616378e-08
3.0522851e-08  -5.8607416e-08
3.0666151e-08  -5.8601059e-08
3.0809451e-08  -5.8595234e-08
3.0952751e-08  -5.8589493e-08
3.1096051e-08  -5.8583835e-08
3.123935e-08  -5.8582067e-08
3.138265e-08  -5.8584233e-08
3.152595e-08  -5.8586314e-08
3.166925e-08  -5.8588312e-08
3.1812549e-08  -5.8589572e-08
